task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
creative,9.5,1,1,9,97,92
programming,10.0,1,5,19,114,118
creative,7.0,1,1,19,28,77
planning,6.2,2,4,17,89,56
programming,6.7,9,4,10,35,103
programming,8.1,5,5,15,160,122
creative,8.9,9,6,20,130,91
programming,7.9,5,2,20,42,136
creative,7.2,7,0,7,115,82
programming,9.2,6,3,11,194,107
programming,6.5,2,3,21,39,145
planning,8.5,3,5,21,160,59
admin,6.6,5,6,17,135,29
creative,7.6,4,3,13,45,72
programming,6.8,6,1,9,134,98
admin,6.9,8,4,21,133,54
admin,6.4,8,6,8,180,63
admin,9.0,3,4,19,190,59
admin,5.9,4,5,17,127,48
admin,5.9,1,4,8,132,39
meeting,10.0,2,0,7,197,94
programming,8.5,9,4,11,46,103
creative,3.4,10,4,19,70,106
programming,6.2,10,6,9,105,99
admin,4.3,2,1,17,129,52
programming,5.6,6,2,18,190,139
admin,3.0,7,3,13,21,29
admin,6.8,6,1,7,131,46
programming,5.3,8,1,15,44,135
programming,7.1,9,1,20,76,135
programming,4.6,8,3,8,47,120
admin,7.1,5,5,14,33,30
creative,6.4,8,1,16,90,73
programming,9.3,10,2,10,177,105
admin,9.1,10,5,12,194,63
programming,8.2,9,4,15,81,106
meeting,6.5,8,2,13,88,83
planning,10.0,2,6,21,123,67
programming,4.7,2,5,14,54,131
meeting,4.9,3,4,21,134,89
programming,6.9,7,4,13,105,125
programming,10.0,9,1,8,22,86
programming,6.7,8,1,15,119,112
programming,6.7,9,3,21,15,123
admin,4.8,6,0,7,106,52
meeting,8.4,1,2,20,80,79
meeting,8.4,4,3,8,56,51
programming,8.2,6,3,9,102,107
programming,6.1,6,2,9,110,120
admin,5.9,8,5,20,53,52
planning,5.1,1,6,16,41,63
programming,7.1,2,2,10,12,108
creative,5.4,2,4,11,191,102
admin,5.2,6,6,12,93,46
admin,6.4,7,0,7,175,64
meeting,6.3,2,5,20,13,91
programming,6.2,5,1,19,154,132
programming,7.7,6,0,14,174,120
admin,7.1,4,0,12,97,33
programming,6.6,1,1,16,115,149
planning,7.3,3,0,15,114,50
meeting,5.5,10,5,11,45,56
programming,7.2,9,5,13,67,101
admin,7.2,6,5,17,178,52
programming,4.7,2,3,10,17,121
meeting,8.5,9,3,12,167,77
admin,5.7,4,5,12,95,48
planning,7.1,8,1,19,189,55
creative,8.7,10,1,10,106,71
admin,8.4,7,2,12,162,45
admin,7.1,3,2,14,189,50
planning,6.5,8,5,17,68,40
programming,8.4,4,6,11,39,83
programming,8.0,2,0,8,110,126
programming,6.1,5,0,15,76,121
programming,5.8,1,1,17,141,159
admin,3.9,8,6,10,102,44
admin,7.2,8,0,10,194,55
admin,6.9,3,4,17,72,38
programming,8.7,1,3,13,41,121
admin,7.5,4,0,16,96,22
programming,9.0,9,0,20,60,123
admin,6.0,9,2,16,72,39
admin,8.7,1,4,12,89,54
programming,6.2,7,0,20,96,137
programming,8.2,6,3,10,119,91
programming,4.8,7,0,12,110,115
creative,7.4,7,1,9,138,69
planning,4.0,8,4,13,28,43
admin,6.6,8,0,12,110,36
programming,7.7,10,6,9,172,106
meeting,6.2,2,4,7,103,78
admin,5.4,4,0,18,90,46
creative,8.3,4,3,16,112,83
programming,6.8,10,3,11,122,109
programming,6.3,8,4,16,163,135
admin,7.1,3,5,8,22,13
meeting,10.0,3,2,13,127,73
programming,8.7,2,2,19,95,120
programming,8.7,1,1,13,32,114
meeting,7.7,8,5,10,116,57
creative,7.2,9,2,12,172,93
planning,3.4,9,4,7,21,48
admin,6.0,8,2,8,146,62
meeting,6.3,5,1,21,87,66
programming,4.2,1,0,12,76,159
meeting,5.3,9,2,8,117,86
meeting,4.0,6,4,18,53,59
admin,6.9,7,4,18,198,56
meeting,8.2,8,1,17,158,76
programming,8.7,5,6,10,16,98
programming,7.6,6,1,10,137,124
programming,5.6,7,6,16,106,117
programming,4.1,7,3,15,20,119
programming,4.4,2,3,21,182,201
planning,5.1,1,3,16,169,79
meeting,5.7,8,6,13,115,76
meeting,6.8,5,0,20,92,71
creative,5.5,10,4,13,45,72
planning,7.5,2,3,18,127,46
admin,6.7,3,4,17,174,40
creative,7.0,6,1,7,50,61
programming,8.7,10,0,17,101,117
programming,5.2,6,1,11,58,113
meeting,7.6,8,4,9,152,73
admin,7.0,5,5,9,150,44
admin,6.5,5,6,12,62,33
programming,8.3,7,5,10,116,98
programming,8.3,10,3,14,42,85
admin,5.6,5,5,20,128,58
programming,6.7,9,1,10,41,101
admin,7.4,6,6,14,127,35
admin,6.6,7,5,20,185,52
admin,7.9,8,2,18,194,58
creative,7.4,5,0,21,71,94
creative,9.7,4,4,18,91,85
meeting,4.7,8,6,10,139,86
admin,6.8,10,3,9,86,26
admin,5.6,9,1,11,25,25
programming,7.9,1,0,18,132,125
programming,4.6,3,3,19,17,122
programming,7.5,4,1,11,156,111
meeting,6.1,7,5,16,169,94
admin,5.9,6,6,16,76,46
creative,4.8,10,4,7,124,97
programming,6.3,10,6,21,122,132
programming,8.6,1,2,14,41,119
planning,7.0,4,2,14,114,58
programming,7.9,6,6,14,34,89
meeting,9.5,3,5,20,62,80
admin,7.4,2,4,16,90,33
meeting,6.2,2,0,10,34,65
programming,7.7,10,4,19,42,102
programming,6.2,4,5,20,40,131
programming,6.2,1,1,15,45,128
admin,4.7,10,6,16,96,44
meeting,8.4,2,6,9,132,72
programming,6.4,10,6,13,186,143
admin,7.3,2,6,12,53,43
creative,5.4,4,0,15,57,84
programming,7.7,4,2,18,167,132
meeting,5.9,1,5,20,22,96
admin,6.8,7,1,19,180,46
programming,8.3,7,5,10,153,102
programming,8.2,10,3,10,100,84
admin,7.0,10,3,12,163,46
creative,4.3,10,3,14,184,112
creative,10.0,1,2,9,174,78
admin,9.6,8,4,17,140,49
admin,8.1,10,0,14,163,46
meeting,5.9,7,6,20,152,93
admin,6.8,7,2,14,75,26
meeting,6.2,6,1,20,37,70
programming,8.9,4,1,20,134,156
admin,7.4,8,3,13,175,49
admin,5.8,2,0,13,181,42
meeting,6.3,7,3,11,190,89
planning,8.7,3,1,8,89,53
programming,9.4,3,1,18,141,125
programming,9.3,7,6,20,81,132
programming,8.1,3,4,21,53,134
creative,6.6,5,6,8,128,103
admin,3.0,8,4,19,55,44
programming,7.4,4,6,18,93,112
admin,7.0,7,4,16,35,40
meeting,7.2,7,3,18,105,81
creative,7.1,2,5,14,22,85
meeting,5.0,8,0,17,134,83
meeting,7.8,10,4,12,78,53
planning,7.9,10,2,14,181,68
programming,8.0,9,4,9,190,117
programming,8.4,6,3,7,60,101
admin,7.9,5,0,19,22,30
planning,6.4,1,4,12,178,73
meeting,6.9,1,6,8,148,90
programming,7.1,9,0,18,174,136
programming,7.2,4,2,21,69,128
meeting,8.5,1,1,15,41,53
programming,8.0,10,6,11,182,105
admin,10.0,3,0,11,27,40
planning,10.0,6,5,19,102,53
meeting,7.1,8,4,16,157,82
meeting,3.0,10,6,14,53,82
meeting,8.9,2,3,12,173,75
programming,6.2,8,5,9,46,83
creative,5.8,1,5,15,170,115
meeting,6.4,2,3,16,136,90
meeting,6.3,8,3,10,28,48
admin,7.9,7,3,16,188,43
meeting,4.7,5,5,10,41,50
admin,5.4,10,0,18,115,35
programming,7.5,2,3,19,31,108
creative,7.9,9,1,8,131,75
planning,8.0,5,5,9,138,52
admin,5.8,8,5,10,63,28
planning,5.5,4,5,13,157,71
programming,6.2,9,2,19,67,107
meeting,7.4,10,0,9,172,75
admin,9.2,7,0,14,79,34
admin,3.9,2,3,14,198,69
meeting,6.7,3,5,16,72,72
programming,5.0,2,6,17,198,169
programming,4.5,5,5,8,194,157
meeting,8.5,2,3,10,12,52
programming,7.8,5,0,14,108,113
admin,7.7,9,3,7,54,25
programming,8.4,2,3,7,152,138
programming,6.3,9,3,20,26,127
admin,6.4,7,3,20,152,53
admin,10.0,7,3,10,14,13
creative,6.6,5,4,17,183,92
admin,8.1,8,4,8,20,21
programming,7.0,7,5,7,101,113
creative,4.2,6,5,14,151,99
meeting,3.9,2,6,8,48,77
programming,6.1,6,6,10,192,127
admin,8.6,2,4,9,51,25
planning,8.2,1,0,21,103,82
meeting,8.4,9,2,8,14,50
programming,5.5,5,0,14,61,120
programming,9.4,10,6,9,159,102
programming,5.6,10,5,21,53,145
meeting,7.3,4,4,15,124,74
admin,7.0,8,0,16,196,57
programming,6.7,5,2,11,162,128
planning,9.0,7,3,15,136,41
creative,5.9,3,1,9,125,87
admin,5.0,8,4,18,158,59
creative,7.0,8,4,11,77,64
programming,6.4,3,2,20,56,137
meeting,10.0,9,3,16,136,65
admin,8.0,8,3,12,44,36
creative,6.4,1,1,15,16,77
creative,5.4,8,3,14,193,104
programming,4.2,4,2,8,125,149
planning,5.5,6,5,8,61,42
programming,7.2,10,3,19,119,114
creative,9.1,9,5,11,55,57
planning,8.7,5,6,11,146,48
programming,7.3,7,6,11,195,109
admin,6.5,1,5,10,32,27
programming,7.4,9,2,14,140,128
meeting,6.2,6,4,17,136,89
meeting,9.6,4,4,11,198,87
admin,6.7,6,4,7,18,26
planning,6.9,5,0,16,62,57
admin,3.7,3,4,20,186,89
meeting,6.7,7,2,11,57,55
creative,8.3,3,1,7,132,82
planning,5.4,2,6,10,91,64
programming,5.9,4,3,7,118,122
planning,8.2,7,4,12,16,26
programming,4.8,5,0,12,108,116
creative,8.6,9,6,7,40,73
programming,6.2,10,6,18,111,104
programming,6.4,7,5,14,65,121
meeting,5.3,9,0,20,108,102
admin,7.6,9,2,10,198,68
meeting,10.0,2,1,8,14,44
programming,8.2,1,4,19,39,100
admin,5.7,4,4,20,31,32
planning,8.7,4,0,7,154,66
meeting,6.5,2,2,17,147,94
programming,9.1,3,0,9,179,125
meeting,8.2,3,0,13,36,60
programming,3.0,5,1,16,136,169
creative,5.5,1,2,17,144,109
creative,8.4,9,1,16,32,60
admin,7.2,8,2,14,84,27
meeting,5.5,8,4,11,126,74
creative,6.0,3,3,13,145,101
admin,4.1,2,5,8,17,40
creative,6.9,1,3,18,110,95
admin,10.0,6,6,18,14,28
creative,8.2,10,2,21,95,89
admin,10.0,1,3,10,139,45
meeting,8.3,5,0,12,188,78
planning,8.5,9,4,18,21,20
meeting,10.0,9,5,18,56,54
admin,7.6,4,5,18,192,61
programming,6.7,7,6,18,35,98
admin,8.5,7,5,20,111,60
admin,9.2,4,4,18,129,44
programming,6.3,5,3,18,182,130
programming,5.9,9,5,11,199,123
admin,7.2,7,5,12,79,46
creative,8.2,7,2,18,11,55
meeting,8.2,10,0,8,35,54
programming,4.9,7,2,13,23,124
admin,9.9,9,3,14,91,41
programming,6.0,5,4,19,111,120
meeting,6.6,6,4,20,194,104
programming,5.6,3,2,17,41,126
programming,10.0,1,1,15,71,107
programming,7.4,2,2,12,124,141
meeting,5.7,8,1,13,39,55
programming,8.3,1,6,19,150,134
meeting,8.2,10,2,18,177,79
meeting,6.7,7,1,19,40,53
meeting,8.3,5,1,7,46,59
meeting,5.8,6,5,15,182,77
creative,6.3,8,6,12,111,84
programming,4.0,4,5,18,137,159
meeting,5.0,6,1,10,95,66
programming,9.7,3,1,16,68,103
programming,9.5,7,0,15,37,97
admin,7.1,2,1,18,131,51
admin,9.5,8,5,7,70,20
creative,6.8,7,1,8,156,107
admin,6.6,8,4,9,180,66
planning,7.1,2,0,7,196,73
programming,6.8,3,1,8,25,111
programming,6.7,4,5,8,78,119
programming,8.7,9,5,13,53,107
programming,7.2,5,3,16,122,121
meeting,8.1,6,5,19,147,73
admin,8.5,1,0,12,184,68
programming,7.6,4,5,18,28,112
planning,5.5,4,4,15,93,47
creative,5.0,10,2,20,102,119
programming,7.2,8,4,11,188,127
programming,6.7,8,6,15,150,128
programming,7.1,10,4,20,153,153
programming,7.0,6,0,19,190,129
programming,10.0,8,0,18,172,111
meeting,5.0,9,3,16,109,91
programming,4.0,5,5,20,196,173
meeting,7.5,1,3,20,48,92
planning,6.4,1,0,15,76,54
admin,7.5,2,5,8,82,49
planning,7.9,2,0,21,198,79
programming,8.9,5,0,18,59,108
meeting,4.7,7,2,15,62,71
admin,6.2,7,4,9,55,25
programming,7.6,4,3,17,61,109
programming,8.2,4,3,9,133,106
admin,10.0,10,1,18,166,55
admin,8.4,3,6,17,14,26
meeting,6.9,2,2,20,83,88
meeting,5.7,3,0,21,104,84
meeting,6.2,8,0,15,84,57
programming,6.1,1,2,21,177,188
programming,8.0,4,5,13,125,119
programming,7.4,7,3,21,139,135
programming,5.0,5,0,20,77,158
planning,6.3,2,6,17,199,80
admin,8.3,1,1,21,89,47
admin,7.5,6,3,14,195,56
programming,7.9,5,4,13,114,101
meeting,7.6,3,6,15,78,55
programming,9.4,9,2,14,195,128
programming,7.4,3,3,20,172,154
programming,6.4,2,4,10,151,124
creative,5.6,5,1,8,152,101
admin,7.4,9,5,20,143,68
meeting,3.3,8,2,19,25,63
meeting,6.7,6,5,17,96,83
planning,6.7,3,6,11,133,55
programming,5.0,6,0,8,183,149
programming,5.6,5,5,10,149,129
programming,8.2,1,0,20,50,152
creative,7.3,5,6,18,128,89
planning,7.2,7,4,8,28,35
programming,7.5,9,3,11,85,105
creative,7.1,1,1,12,118,102
creative,8.9,3,4,17,128,86
programming,7.2,8,1,7,122,129
meeting,4.8,6,5,21,11,76
meeting,9.4,5,1,18,29,44
planning,7.6,10,5,14,128,47
programming,6.1,2,1,8,104,153
creative,5.1,3,2,20,146,124
programming,7.6,2,4,11,30,105
admin,6.8,1,2,17,17,32
meeting,9.4,7,3,14,176,82
admin,6.5,3,3,11,174,68
creative,5.7,7,0,9,38,77
creative,8.3,7,0,12,44,75
creative,8.4,8,0,7,47,67
programming,7.3,1,6,7,99,127
admin,8.0,5,3,14,172,70
programming,6.9,10,1,13,77,111
meeting,7.4,9,5,16,140,72
meeting,8.7,7,6,16,118,69
meeting,7.9,1,1,17,120,77
meeting,6.7,8,4,17,21,66
planning,9.0,3,3,9,41,41
programming,3.5,4,5,14,184,152
admin,10.0,4,5,17,72,29
meeting,4.4,10,5,21,163,102
programming,6.1,8,0,14,52,122
programming,6.9,1,5,20,116,155
planning,6.8,8,5,20,181,78
creative,8.5,9,3,7,47,74
planning,5.4,9,1,16,38,50
planning,7.4,5,6,13,64,42
programming,6.1,4,6,8,61,128
meeting,7.4,4,1,18,124,65
admin,6.9,9,2,8,28,34
meeting,7.1,8,2,8,44,56
meeting,6.2,10,4,19,57,62
meeting,6.2,10,3,11,119,67
admin,7.4,7,2,13,197,62
admin,8.4,3,2,10,40,18
programming,6.1,4,3,17,12,118
meeting,5.7,9,1,18,172,91
admin,7.9,8,4,10,97,33
admin,7.0,1,4,15,61,37
programming,8.2,3,4,20,80,131
admin,5.6,10,2,16,60,25
programming,4.3,2,1,15,65,147
meeting,6.2,2,4,13,108,80
creative,5.9,8,3,20,30,91
admin,6.9,6,4,21,138,42
programming,6.0,6,6,16,117,129
admin,8.1,4,0,21,62,35
admin,6.6,1,1,10,15,20
creative,7.2,7,0,14,91,90
admin,7.2,8,1,16,199,49
admin,7.3,2,5,9,88,42
meeting,7.0,2,3,9,56,47
programming,7.8,1,5,18,105,117
programming,5.8,4,2,13,115,136
meeting,9.1,6,2,19,187,76
admin,6.6,5,5,17,91,29
meeting,5.0,4,1,18,40,73
programming,7.3,4,4,15,166,133
programming,5.7,10,0,19,152,117
meeting,8.0,7,3,17,67,65
programming,10.0,7,4,10,32,76
admin,5.8,2,2,10,175,42
programming,7.5,7,4,7,50,96
admin,4.4,2,5,7,24,34
planning,7.7,4,5,19,96,50
programming,5.7,1,6,20,12,149
meeting,6.1,5,6,9,10,36
programming,5.3,1,0,18,84,140
admin,8.1,4,2,19,148,42
admin,8.5,9,1,13,197,62
meeting,7.0,8,3,19,85,60
meeting,5.7,6,5,21,13,75
creative,9.4,8,3,15,34,75
programming,5.9,5,2,10,180,130
programming,3.8,7,1,8,103,114
creative,7.7,8,6,12,177,91
admin,5.3,7,5,12,105,42
creative,8.5,4,0,15,117,84
admin,6.4,5,3,21,108,31
creative,7.9,10,2,10,104,66
meeting,9.1,6,3,14,109,54
admin,5.2,6,6,19,100,35
planning,6.2,9,6,20,53,51
admin,6.9,10,1,19,196,51
programming,9.3,2,0,9,137,109
programming,6.0,6,6,8,32,108
programming,6.1,3,1,15,199,146
programming,7.7,2,6,21,32,140
programming,6.1,6,5,12,195,135
admin,7.2,4,4,17,64,21
admin,4.7,5,1,14,170,48
meeting,10.0,5,1,17,86,58
admin,5.0,3,3,16,72,37
programming,6.5,4,6,15,112,115
programming,7.0,3,1,7,69,125
programming,9.9,7,2,19,198,128
meeting,5.0,1,5,7,89,78
programming,10.0,6,3,17,198,124
programming,8.1,4,3,11,104,93
meeting,7.6,1,4,15,78,76
creative,5.5,1,5,13,123,125
programming,7.9,5,2,13,113,106
admin,5.9,5,5,8,117,54
admin,8.9,10,1,9,98,28
creative,5.5,7,4,10,30,64
planning,6.8,4,2,8,140,71
programming,6.2,9,4,16,185,136
programming,5.5,4,5,15,19,122
creative,8.1,7,0,11,96,68
meeting,7.8,5,5,19,179,64
admin,8.8,5,1,13,100,57
admin,4.3,6,4,17,183,57
admin,8.6,8,0,15,146,48
planning,10.0,5,1,11,132,44
planning,6.3,3,4,21,186,87
admin,9.8,6,4,12,13,28
programming,6.6,2,5,10,197,124
creative,4.9,8,6,20,99,113
programming,6.5,8,4,14,105,126
programming,8.6,3,4,7,38,115
creative,5.7,8,3,7,95,93
programming,6.1,9,6,11,56,107
programming,7.9,5,4,16,86,102
programming,7.0,5,5,15,96,105
creative,7.9,6,3,8,40,65
meeting,7.4,7,3,17,60,48
admin,7.7,3,0,21,178,54
programming,6.4,5,1,9,45,92
creative,7.3,1,3,14,177,100
creative,5.6,10,2,11,104,86
programming,8.9,5,3,9,197,107
meeting,6.0,4,2,12,24,74
programming,8.7,1,6,12,87,132
planning,6.6,7,0,20,167,81
admin,7.3,1,2,11,167,47
planning,6.3,8,0,11,164,61
programming,5.5,10,0,12,49,109
creative,4.4,2,0,8,54,100
creative,5.4,10,2,12,184,91
admin,6.5,5,2,8,99,49
planning,7.3,6,0,9,65,34
meeting,8.5,9,6,8,63,59
programming,6.3,7,0,7,94,123
admin,5.7,6,6,18,18,23
admin,4.8,5,1,7,127,42
admin,7.7,6,6,15,74,33
programming,9.1,4,6,19,117,122
meeting,8.9,1,6,10,138,71
programming,8.1,9,0,11,150,111
meeting,8.0,5,4,16,47,60
admin,9.5,8,1,20,182,56
admin,7.5,7,1,21,114,46
programming,8.0,8,1,13,49,100
meeting,6.5,1,4,21,152,112
programming,5.0,9,1,8,187,143
programming,6.0,1,1,18,139,160
creative,7.0,3,2,17,190,108
planning,7.1,8,5,16,163,56
meeting,9.9,1,2,15,84,69
creative,7.1,1,0,18,42,76
creative,8.8,6,0,10,94,59
creative,6.3,5,6,16,68,85
programming,6.5,6,3,16,104,126
planning,5.0,3,5,19,35,47
meeting,5.9,10,4,19,112,73
programming,7.8,10,2,7,30,92
programming,7.0,6,0,14,186,132
meeting,8.4,2,4,10,89,77
programming,7.3,8,1,13,80,118
programming,6.5,6,4,9,75,102
programming,10.0,4,2,17,46,101
creative,6.9,4,5,18,23,70
creative,8.7,7,3,15,117,70
programming,6.4,3,6,21,144,162
creative,8.1,3,2,19,175,103
creative,8.4,6,6,11,182,78
creative,7.3,9,5,11,159,82
programming,3.5,1,0,9,181,153
admin,7.0,5,6,17,90,44
planning,8.8,1,0,15,89,42
admin,7.8,1,4,9,112,46
programming,7.7,3,2,8,44,118
meeting,4.4,3,0,17,111,81
admin,5.9,4,1,19,197,54
meeting,7.6,3,1,15,140,80
programming,7.6,6,3,18,127,128
programming,8.8,4,4,18,104,124
creative,6.8,8,0,15,64,77
creative,7.6,1,3,16,18,70
programming,7.0,8,1,18,78,109
planning,5.5,1,3,19,37,36
programming,3.6,1,3,10,152,151
admin,7.6,7,0,10,122,44
creative,7.3,1,0,19,40,81
creative,6.1,9,0,17,68,77
planning,4.6,8,4,16,91,54
programming,7.9,1,6,21,63,145
creative,6.6,2,3,19,184,116
programming,7.8,2,3,19,51,103
admin,9.8,2,4,12,32,33
admin,3.8,6,1,15,118,48
admin,6.0,4,2,14,95,45
programming,6.7,8,6,16,74,102
creative,9.2,1,1,9,98,88
programming,4.5,10,4,12,63,131
programming,9.9,4,6,21,127,154
admin,7.2,10,6,19,114,35
meeting,6.9,5,3,13,20,48
creative,6.7,9,3,21,72,81
meeting,6.3,5,0,21,31,63
programming,8.6,3,0,12,191,145
creative,5.4,4,3,9,126,92
meeting,7.5,10,3,20,173,84
programming,6.4,7,5,20,67,140
admin,5.9,1,6,20,29,40
meeting,10.0,6,0,19,153,57
admin,7.6,8,0,19,193,42
meeting,7.9,1,1,15,102,82
creative,8.7,8,3,10,59,69
creative,4.9,7,6,8,99,81
admin,9.6,1,3,15,113,43
programming,3.2,9,4,9,136,128
creative,5.8,3,1,12,122,108
admin,6.3,2,2,11,83,41
admin,7.9,7,2,20,22,20
meeting,7.3,3,2,19,24,57
creative,6.7,1,6,21,82,113
admin,7.0,10,5,8,36,28
programming,5.5,3,0,7,145,141
meeting,4.8,6,6,15,187,91
creative,8.1,3,2,9,97,69
programming,8.0,5,4,13,163,110
planning,9.4,9,6,15,45,28
admin,5.8,7,6,15,158,44
admin,8.0,2,0,18,61,37
programming,6.6,1,0,16,148,151
programming,8.8,7,2,12,17,105
planning,8.5,4,0,14,66,42
programming,7.3,7,1,15,119,122
creative,6.5,6,1,9,183,92
meeting,8.4,7,2,12,139,72
programming,8.0,4,6,11,73,103
programming,6.0,3,4,13,189,154
meeting,5.0,5,0,13,20,60
planning,6.6,3,3,15,143,58
meeting,9.3,3,6,7,105,71
meeting,8.7,4,2,12,85,73
programming,5.3,8,5,11,73,111
meeting,5.2,2,0,10,110,72
meeting,8.9,4,2,16,102,72
creative,5.3,3,2,18,192,104
meeting,7.8,7,4,17,53,53
meeting,6.1,2,3,20,151,94
programming,9.4,1,0,7,92,124
planning,5.8,10,2,10,142,66
programming,8.7,1,2,16,108,133
programming,7.3,6,6,17,34,86
admin,7.4,3,0,13,187,52
admin,4.0,7,2,10,111,31
meeting,3.7,8,2,7,82,84
meeting,6.7,5,2,16,131,69
creative,7.4,5,1,7,80,78
programming,5.3,2,1,7,126,149
creative,5.4,8,3,17,91,91
admin,7.8,10,4,16,139,22
meeting,7.8,1,6,11,125,74
meeting,6.8,10,6,13,19,48
programming,8.2,9,0,15,139,122
creative,5.2,1,4,14,69,102
meeting,6.5,1,4,8,54,75
programming,9.5,1,6,15,145,128
admin,7.1,7,1,10,195,45
planning,7.2,4,3,18,128,64
meeting,10.0,7,4,16,16,52
planning,4.9,5,6,21,81,63
programming,8.2,7,4,17,30,97
programming,9.5,10,2,11,106,102
programming,6.5,7,0,18,56,100
meeting,8.3,4,3,17,10,58
programming,5.5,2,6,11,149,135
programming,6.0,8,0,10,185,124
planning,7.6,2,1,19,137,57
creative,8.2,9,4,12,103,59
admin,8.7,5,4,7,141,50
programming,9.4,9,5,8,43,90
programming,6.9,9,0,10,96,104
programming,8.8,8,1,10,41,80
admin,6.5,8,6,14,12,22
planning,8.4,4,5,15,77,42
meeting,7.3,4,5,18,66,55
programming,7.7,2,2,10,123,114
meeting,7.6,4,5,12,161,74
programming,4.6,4,5,10,42,105
meeting,5.3,6,2,10,140,83
admin,7.2,3,4,18,141,42
admin,4.5,2,4,17,39,41
programming,8.2,8,3,18,79,110
programming,8.3,2,5,15,58,121
planning,7.5,8,0,20,39,42
programming,5.3,7,4,10,91,111
programming,9.1,3,1,19,153,125
programming,10.0,6,6,12,190,128
programming,7.2,6,0,20,143,143
meeting,7.8,10,3,19,33,55
creative,7.3,5,5,15,124,84
programming,7.8,8,2,9,101,108
meeting,6.8,5,3,13,165,79
admin,6.9,7,0,13,30,26
meeting,8.4,6,2,7,17,51
creative,10.0,7,1,17,45,81
creative,4.9,9,2,8,133,94
programming,6.8,3,2,11,18,107
creative,5.2,10,1,14,49,76
meeting,9.4,7,4,12,188,79
planning,6.1,10,4,20,138,62
meeting,4.8,3,2,20,126,97
planning,8.0,2,6,19,77,43
creative,9.6,7,2,19,163,95
programming,8.0,4,3,13,177,122
meeting,7.3,1,6,21,12,78
planning,7.6,6,4,21,117,56
creative,9.1,6,1,9,131,76
programming,5.7,6,5,12,18,122
admin,6.8,2,5,15,169,50
programming,6.3,1,2,9,13,104
programming,5.2,3,2,20,15,152
meeting,6.5,2,5,19,82,73
programming,8.7,6,3,19,35,101
creative,7.8,6,3,19,139,86
programming,8.0,5,3,12,123,114
creative,7.2,10,0,13,94,71
programming,7.8,10,1,11,95,100
programming,5.8,5,0,16,140,134
programming,6.5,9,2,19,44,114
programming,7.3,5,3,14,123,115
programming,7.4,10,3,14,68,106
programming,7.5,6,5,12,47,108
admin,6.8,4,5,13,42,22
programming,6.4,10,6,9,130,98
meeting,10.0,1,3,19,152,72
meeting,8.4,4,4,13,109,62
creative,7.6,2,5,13,151,107
planning,6.7,10,1,10,54,55
meeting,6.3,3,0,16,57,59
programming,6.8,7,1,20,181,155
programming,7.4,7,5,19,127,113
planning,4.2,1,3,10,174,77
programming,4.6,8,2,20,38,152
programming,6.0,7,4,9,93,101
programming,7.3,1,5,16,171,140
programming,6.6,8,1,13,196,134
programming,9.2,2,2,11,122,123
creative,4.8,8,5,9,126,84
programming,5.9,3,3,12,52,113
admin,9.3,10,6,18,170,61
programming,7.2,7,3,12,28,105
programming,8.3,6,3,12,17,84
planning,10.0,5,3,8,168,63
programming,6.0,10,5,19,20,115
creative,6.9,2,6,17,17,79
meeting,6.6,2,4,16,162,98
programming,4.1,1,4,18,122,168
planning,6.5,9,1,13,157,64
programming,8.3,8,5,19,47,100
creative,7.8,8,6,13,144,88
programming,7.9,1,6,16,126,138
creative,6.4,5,3,18,176,98
programming,6.0,6,4,10,83,114
meeting,8.9,2,5,17,81,69
creative,6.3,10,2,12,115,90
planning,7.4,5,4,10,127,48
planning,7.2,6,4,10,29,31
creative,9.2,9,6,12,20,66
creative,8.5,10,1,15,153,96
programming,5.1,1,4,18,51,147
programming,5.2,10,2,19,99,122
programming,7.9,3,3,21,61,123
meeting,6.9,9,0,13,174,86
meeting,6.3,1,1,8,61,94
meeting,8.5,1,2,20,146,92
programming,7.3,1,1,12,172,141
admin,7.1,7,5,20,104,52
programming,8.2,5,3,11,144,98
programming,6.4,6,4,12,11,115
meeting,9.4,8,5,19,34,54
creative,5.8,2,4,14,85,96
admin,8.0,2,6,14,103,35
admin,9.2,3,2,21,103,53
programming,4.9,3,3,9,50,114
meeting,6.5,3,0,15,189,95
programming,8.7,4,0,12,96,115
meeting,8.7,3,4,13,90,76
meeting,6.7,2,5,15,133,82
programming,5.9,9,6,21,86,172
programming,8.4,6,3,20,47,125
planning,8.8,3,3,19,51,43
planning,5.3,9,2,13,191,68
meeting,5.2,4,5,16,87,81
programming,7.3,4,0,15,73,110
programming,7.9,8,2,7,141,110
meeting,6.6,7,1,19,168,77
planning,8.0,7,3,7,134,53
programming,5.9,10,0,9,150,137
creative,3.8,7,2,19,36,89
programming,6.4,10,4,15,68,109
planning,7.1,5,1,7,74,54
meeting,6.6,7,2,7,34,58
creative,5.3,4,4,11,46,86
programming,4.3,8,0,14,133,156
admin,6.2,9,0,8,80,25
programming,8.3,3,1,10,151,95
programming,8.9,7,4,21,103,147
planning,8.8,10,3,12,161,53
planning,5.8,9,6,21,76,44
creative,5.3,1,6,7,185,117
admin,7.7,2,0,21,112,42
creative,8.0,7,5,10,100,65
programming,7.6,2,3,10,175,132
programming,4.0,7,3,15,99,134
programming,5.7,1,6,15,79,129
admin,7.0,3,2,12,68,36
meeting,7.7,5,2,14,21,43
programming,8.2,6,0,18,191,122
